[3J[H[2Jtime, , AT_21, WU_422, WV_423, depth, latitude, longitude
, , AIR TEMPERATURE (C), WIND U (M/S)             , WIND V (M/S)             , , , 
time, , C, m s-1, m s-1, m, degree_north, degree_west
2018-06-25 00:00:00, , 0.87664795, 0.65629077, 4.437666, 10.0, 71.21263, 164.4151
2018-06-26 00:00:00, , 0.9786682, -1.4162889, 0.97555363, 10.0, 71.21263, 164.4151
2018-06-27 00:00:00, , 0.48251343, -3.3716211, -1.1168236, 10.0, 71.21263, 164.4151
2018-06-28 00:00:00, , 0.30966187, -4.3214674, -1.3939186, 10.0, 71.21263, 164.4151
2018-06-29 00:00:00, , 0.2574463, -3.6721926, -1.115839, 10.0, 71.21263, 164.4151
2018-06-30 00:00:00, , 0.29699707, -3.5782676, -1.4254181, 10.0, 71.21263, 164.4151
2018-07-01 00:00:00, , 0.63861084, -3.3966417, 0.44657326, 10.0, 71.21263, 164.4151
2018-07-02 00:00:00, , 1.2218323, -0.98977447, 2.8700438, 10.0, 71.21263, 164.4151
2018-07-03 00:00:00, , 0.9590454, 1.2333349, 4.1210117, 10.0, 71.21263, 164.4151
2018-07-04 00:00:00, , 0.8314514, 4.4405003, 1.4808209, 10.0, 71.21263, 164.4151
2018-07-05 00:00:00, , 0.4779358, 3.185058, -0.28395653, 10.0, 71.21263, 164.4151
2018-07-06 00:00:00, , 1.5144653, 6.406357, 5.0245285, 10.0, 71.21263, 164.4151
2018-07-07 00:00:00, , 1.3460083, 4.8704176, 1.6971357, 10.0, 71.21263, 164.4151
2018-07-08 00:00:00, , 0.0831604, 2.9606674, -4.3467894, 10.0, 71.21263, 164.4151
2018-07-09 00:00:00, , 0.1977539, 1.4104766, -3.9989219, 10.0, 71.21263, 164.4151
2018-07-10 00:00:00, , 0.38861084, 2.9497867, -1.1805756, 10.0, 71.21263, 164.4151
2018-07-11 00:00:00, , 0.47479248, 0.50394714, -1.5617417, 10.0, 71.21263, 164.4151
2018-07-12 00:00:00, , 1.0654602, 2.2241044, 2.1499038, 10.0, 71.21263, 164.4151
2018-07-13 00:00:00, , 2.2113647, 3.6550372, 8.2983465, 10.0, 71.21263, 164.4151
2018-07-14 00:00:00, , 2.6461487, 0.63722205, 6.3814173, 10.0, 71.21263, 164.4151
2018-07-15 00:00:00, , 1.6937256, 3.6174974, 1.420783, 10.0, 71.21263, 164.4151
2018-07-16 00:00:00, , 1.236969, 5.396888, 0.053755403, 10.0, 71.21263, 164.4151
2018-07-17 00:00:00, , 1.9335938, 3.0717041, 4.0393696, 10.0, 71.21263, 164.4151
2018-07-18 00:00:00, , 2.5779114, 4.3144703, 7.1500072, 10.0, 71.21263, 164.4151
2018-07-19 00:00:00, , 1.8250122, 9.217203, 1.9483621, 10.0, 71.21263, 164.4151
2018-07-20 00:00:00, , 1.9496155, 3.6537127, 3.0285277, 10.0, 71.21263, 164.4151
2018-07-21 00:00:00, , 2.8294373, 2.29263, 5.7073617, 10.0, 71.21263, 164.4151
2018-07-22 00:00:00, , 3.4654236, 3.067848, 8.6681795, 10.0, 71.21263, 164.4151
2018-07-23 00:00:00, , 2.268219, 2.499969, 2.0361004, 10.0, 71.21263, 164.4151
2018-07-24 00:00:00, , 3.1313782, 0.8373612, 8.545603, 10.0, 71.21263, 164.4151
2018-07-25 00:00:00, , 2.2250366, 6.6506753, 2.126098, 10.0, 71.21263, 164.4151
2018-07-26 00:00:00, , 2.1653748, 1.5991926, 0.0033986568, 10.0, 71.21263, 164.4151
2018-07-27 00:00:00, , 1.9100037, -5.769098, -1.4832395, 10.0, 71.21263, 164.4151
2018-07-28 00:00:00, , 2.9238586, -2.5355, 3.0917242, 10.0, 71.21263, 164.4151
2018-07-29 00:00:00, , 3.6950684, 3.6978514, 6.680518, 10.0, 71.21263, 164.4151
2018-07-30 00:00:00, , 4.159027, 2.1292753, 6.507597, 10.0, 71.21263, 164.4151
2018-07-31 00:00:00, , 4.6575623, 1.6878105, 2.139655, 10.0, 71.21263, 164.4151
2018-08-01 00:00:00, , 5.5236206, -1.891759, -0.47745013, 10.0, 71.21263, 164.4151
2018-08-02 00:00:00, , 2.1392822, -7.0937586, -6.0628924, 10.0, 71.21263, 164.4151
2018-08-03 00:00:00, , 1.8628845, -4.047395, -5.7641573, 10.0, 71.21263, 164.4151
2018-08-04 00:00:00, , 2.406372, -3.3730674, -3.3667455, 10.0, 71.21263, 164.4151
2018-08-05 00:00:00, , 3.2894592, -1.1539061, -0.024665833, 10.0, 71.21263, 164.4151
2018-08-06 00:00:00, , 3.2858582, 0.77932787, -2.3588116, 10.0, 71.21263, 164.4151
2018-08-07 00:00:00, , 3.0725098, 4.011076, -3.4971547, 10.0, 71.21263, 164.4151
2018-08-08 00:00:00, , 2.709076, -1.553839, -3.1350648, 10.0, 71.21263, 164.4151
2018-08-09 00:00:00, , 2.8226929, -0.5740988, -2.1341348, 10.0, 71.21263, 164.4151
2018-08-10 00:00:00, , 2.98703, 1.1982082, -2.0607805, 10.0, 71.21263, 164.4151
2018-08-11 00:00:00, , 3.2890625, -1.894362, -0.85292315, 10.0, 71.21263, 164.4151
2018-08-12 00:00:00, , 3.8344727, -2.5532641, -2.7569118, 10.0, 71.21263, 164.4151
2018-08-13 00:00:00, , 3.3237305, -1.7070125, -6.4269314, 10.0, 71.21263, 164.4151
2018-08-14 00:00:00, , 3.8857117, 0.6896446, -1.2733176, 10.0, 71.21263, 164.4151
2018-08-15 00:00:00, , 5.9096375, 10.074828, 3.4789634, 10.0, 71.21263, 164.4151
2018-08-16 00:00:00, , 6.3022766, 8.785127, 0.6985923, 10.0, 71.21263, 164.4151
2018-08-17 00:00:00, , 5.06369, -2.042516, -0.34083486, 10.0, 71.21263, 164.4151
2018-08-18 00:00:00, , 5.8795776, -1.5606899, 4.5980988, 10.0, 71.21263, 164.4151
2018-08-19 00:00:00, , 5.8659363, 2.3494809, 1.7008113, 10.0, 71.21263, 164.4151
2018-08-20 00:00:00, , 5.2505493, -5.237858, 0.63616776, 10.0, 71.21263, 164.4151
2018-08-21 00:00:00, , 3.9763489, -8.914896, -2.4889786, 10.0, 71.21263, 164.4151
2018-08-22 00:00:00, , 3.039917, -10.786825, -1.485427, 10.0, 71.21263, 164.4151
2018-08-23 00:00:00, , 1.9288635, -9.549803, -1.4835047, 10.0, 71.21263, 164.4151
2018-08-24 00:00:00, , 2.140564, -8.717667, -2.1045368, 10.0, 71.21263, 164.4151
2018-08-25 00:00:00, , 3.542389, -8.5096245, 0.35596943, 10.0, 71.21263, 164.4151
2018-08-26 00:00:00, , 4.659027, -7.453391, 0.48982167, 10.0, 71.21263, 164.4151
2018-08-27 00:00:00, , 3.2893677, -6.0508046, -2.8208995, 10.0, 71.21263, 164.4151
2018-08-28 00:00:00, , 3.8016052, 5.065935, 1.2604438, 10.0, 71.21263, 164.4151
2018-08-29 00:00:00, , 6.130829, 10.063631, 2.7942553, 10.0, 71.21263, 164.4151
2018-08-30 00:00:00, , 4.947052, 5.0015526, -2.2751908, 10.0, 71.21263, 164.4151
2018-08-31 00:00:00, , 6.3578186, 8.480791, 2.8720438, 10.0, 71.21263, 164.4151
2018-09-01 00:00:00, , 4.8890076, 1.5493498, -2.4842439, 10.0, 71.21263, 164.4151
2018-09-02 00:00:00, , 5.016449, -6.9846044, 2.870959, 10.0, 71.21263, 164.4151
2018-09-03 00:00:00, , 6.650421, 3.012251, 0.8132212, 10.0, 71.21263, 164.4151
2018-09-04 00:00:00, , 6.720093, 0.6264713, 3.3016012, 10.0, 71.21263, 164.4151
